classifier,dataset,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
ResNet,OSULeaf,5,90,1.0,0.9836026896307656,0.01639731036923442,0.8613479733675973,0.13865202663240273
ResNet,OSULeaf,60,90,1.0,0.9507620164126612,0.049237983587338774,0.7604790419161677,0.23952095808383234
ResNet,OSULeaf,65,90,1.0,0.9326647564469914,0.06733524355300857,0.6998635743519782,0.3001364256480218
ResNet,OSULeaf,70,90,1.0,0.9304123711340206,0.06958762886597936,0.7855113636363636,0.21448863636363635
ResNet,OSULeaf,75,90,1.0,0.9121405750798722,0.08785942492012777,0.7482876712328768,0.25171232876712324
ResNet,OSULeaf,80,90,1.0,0.9223985890652557,0.07760141093474426,0.6771378708551483,0.3228621291448517
ResNet,OSULeaf,85,90,1.0,0.912396694214876,0.08760330578512399,0.7271241830065359,0.2728758169934641
ResNet,OSULeaf,90,90,1.0,0.9044585987261147,0.09554140127388533,0.7276341948310139,0.2723658051689861
ResNet,OSULeaf,95,90,1.0,0.8940936863543788,0.1059063136456212,0.7033707865168539,0.2966292134831461
InceptionTime,BeetleFly,102,90,1.0,0.8571428571428571,0.1428571428571429,0.58,0.42000000000000004
InceptionTime,BeetleFly,108,90,1.0,0.8857142857142857,0.11428571428571432,0.5277777777777778,0.4722222222222222
InceptionTime,BeetleFly,114,90,1.0,0.8857142857142857,0.11428571428571432,0.5714285714285714,0.4285714285714286
InceptionTime,BeetleFly,120,90,1.0,0.8863636363636364,0.11363636363636365,0.5517241379310345,0.4482758620689655
InceptionTime,BeetleFly,126,90,1.0,0.9,0.09999999999999998,0.5121951219512195,0.4878048780487805
InceptionTime,BeetleFly,12,90,1.0,0.7064220183486238,0.29357798165137616,0.7614678899082569,0.23853211009174313
InceptionTime,BeetleFly,18,90,1.0,0.7281553398058253,0.27184466019417475,0.8571428571428571,0.1428571428571429
InceptionTime,BeetleFly,24,90,1.0,0.7387387387387387,0.26126126126126126,0.8380952380952381,0.16190476190476188
InceptionTime,BeetleFly,30,90,1.0,0.6836734693877551,0.3163265306122449,0.8282828282828283,0.1717171717171717
InceptionTime,BeetleFly,36,90,1.0,0.8241758241758241,0.17582417582417587,0.8076923076923077,0.1923076923076923
InceptionTime,BeetleFly,42,90,1.0,0.7471264367816092,0.25287356321839083,0.7647058823529411,0.23529411764705888
InceptionTime,BeetleFly,48,90,1.0,0.7361111111111112,0.26388888888888884,0.7272727272727273,0.2727272727272727
InceptionTime,BeetleFly,54,90,1.0,0.7538461538461538,0.24615384615384617,0.7702702702702703,0.22972972972972971
InceptionTime,BeetleFly,60,90,1.0,0.671875,0.328125,0.6415094339622641,0.3584905660377359
InceptionTime,BeetleFly,66,90,1.0,0.7966101694915254,0.2033898305084746,0.6515151515151515,0.3484848484848485
InceptionTime,BeetleFly,6,90,1.0,0.7207207207207207,0.2792792792792793,0.7363636363636363,0.26363636363636367
InceptionTime,BeetleFly,72,90,1.0,0.8135593220338984,0.18644067796610164,0.6065573770491803,0.39344262295081966
InceptionTime,BeetleFly,78,90,1.0,0.8571428571428571,0.1428571428571429,0.6296296296296297,0.37037037037037035
InceptionTime,BeetleFly,84,90,1.0,0.7857142857142857,0.2142857142857143,0.6458333333333334,0.35416666666666663
InceptionTime,BeetleFly,90,90,1.0,0.8372093023255814,0.16279069767441856,0.5238095238095238,0.47619047619047616
InceptionTime,BeetleFly,96,90,1.0,0.8181818181818182,0.18181818181818177,0.6078431372549019,0.3921568627450981
InceptionTime,Earthquakes,102,90,1.0,0.6011730205278593,0.39882697947214074,0.7543352601156069,0.24566473988439308
InceptionTime,Earthquakes,108,90,1.0,0.5797101449275363,0.42028985507246375,0.7310606060606061,0.2689393939393939
InceptionTime,Earthquakes,114,90,1.0,0.583916083916084,0.41608391608391604,0.7723880597014925,0.2276119402985075
InceptionTime,Earthquakes,120,90,1.0,0.5645161290322581,0.4354838709677419,0.7706766917293233,0.2293233082706767
InceptionTime,Earthquakes,126,90,1.0,0.5481727574750831,0.4518272425249169,0.7732342007434945,0.22676579925650553
InceptionTime,Earthquakes,12,90,1.0,0.660866046135168,0.339133953864832,0.7354838709677419,0.2645161290322581
InceptionTime,Earthquakes,18,90,1.0,0.6647196261682243,0.33528037383177567,0.7398843930635838,0.2601156069364162
InceptionTime,Earthquakes,24,90,1.0,0.6563649742457689,0.3436350257542311,0.7520415738678545,0.24795842613214547
InceptionTime,Earthquakes,30,90,1.0,0.6606005459508644,0.33939945404913563,0.7600716204118174,0.23992837958818258
InceptionTime,Earthquakes,36,90,1.0,0.6451965065502183,0.3548034934497817,0.7473572938689218,0.2526427061310782
InceptionTime,Earthquakes,42,90,1.0,0.6569620253164556,0.34303797468354436,0.7385019710906702,0.2614980289093298
InceptionTime,Earthquakes,48,90,1.0,0.642962962962963,0.35703703703703704,0.7444279346210996,0.2555720653789004
InceptionTime,Earthquakes,54,90,1.0,0.6231647634584013,0.3768352365415987,0.7467105263157895,0.2532894736842105
InceptionTime,Earthquakes,60,90,1.0,0.6466019417475728,0.3533980582524272,0.7276119402985075,0.2723880597014925
InceptionTime,Earthquakes,66,90,1.0,0.6113744075829384,0.3886255924170616,0.7389473684210527,0.2610526315789473
InceptionTime,Earthquakes,6,90,1.0,0.6680630852636766,0.33193691473632336,0.7255892255892256,0.27441077441077444
InceptionTime,Earthquakes,72,90,1.0,0.6022222222222222,0.3977777777777778,0.7618025751072961,0.2381974248927039
InceptionTime,Earthquakes,78,90,1.0,0.6105990783410138,0.3894009216589862,0.748780487804878,0.25121951219512195
