classifier,dataset,perturbation,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inverse_tp,change_inverse_tp
ResNet,OSULeaf,mean,100,90,1.0,0.8313253012048193,0.1686746987951807,0.6746987951807228,0.32530120481927716
ResNet,OSULeaf,mean,100,85,1.0,0.8264462809917356,0.17355371900826444,0.6831955922865014,0.3168044077134986
ResNet,OSULeaf,mean,100,80,1.0,0.8316582914572864,0.16834170854271358,0.6859296482412061,0.31407035175879394
ResNet,OSULeaf,mean,100,75,1.0,0.8436123348017621,0.15638766519823788,0.6894273127753304,0.3105726872246696
ResNet,OSULeaf,mean,100,70,1.0,0.85,0.15000000000000002,0.7,0.30000000000000004
ResNet,OSULeaf,mean,100,65,1.0,0.8529411764705882,0.1470588235294118,0.7077205882352942,0.29227941176470584
ResNet,OSULeaf,mean,100,60,1.0,0.860738255033557,0.13926174496644295,0.7164429530201343,0.2835570469798657
ResNet,OSULeaf,mean,100,55,1.0,0.864406779661017,0.13559322033898302,0.7164869029275809,0.2835130970724191
ResNet,OSULeaf,mean,100,50,1.0,0.8692628650904033,0.1307371349095967,0.721835883171071,0.27816411682892905
ResNet,OSULeaf,zero,100,95,1.0,0.8361774744027304,0.16382252559726962,0.6757679180887372,0.32423208191126285
